"#DOWNLOAD URL# http://data.usbr.gov/rise/api/result/download?after=2020-01-01&before=2022-12-31&filename=Boysen%20Reservoir%20Dam%20and%20Powerplant%20Observed%20Daily%20Instantaneous%20Lake%2FReservoir%20Elevation%20ft%20%282020-01-01%20-%202022-12-31%29&itemId=196&order=ASC&type=csv","","","","","",""
"#DOWNLOAD DATE# 2024-02-06","","","","","",""
"#LOCATION INFORMATION#","","","","","",""
"Location","State","Coordinates (long, lat)","Timezone","Location Type","",""
"Boysen Reservoir Dam and Powerplant","WY","(-108.1769, 43.4)","MT","Lake/Reservoir","",""
"","","","","","",""
"#SERIES DATA#","","","","","",""
"Location","Parameter","Result","Units","Timestep","Aggregation","Datetime (UTC)"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Elevation","4715.58","ft","daily","instant","2020-04-02 06:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Elevation","4715.58","ft","daily","instant","2020-04-02 19:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Elevation","4715.39","ft","daily","instant","2020-04-03 06:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Elevation","4715.39","ft","daily","instant","2020-04-03 19:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Elevation","4715.23","ft","daily","instant","2020-04-04 06:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Elevation","4715.23","ft","daily","instant","2020-04-04 19:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Elevation","4715.03","ft","daily","instant","2020-04-05 06:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Elevation","4715.03","ft","daily","instant","2020-04-05 19:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Elevation","4714.84","ft","daily","instant","2020-04-06 06:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Elevation","4714.84","ft","daily","instant","2020-04-06 19:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Elevation","4714.65","ft","daily","instant","2020-04-07 06:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Elevation","4714.65","ft","daily","instant","2020-04-07 19:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Elevation","4714.49","ft","daily","instant","2020-04-08 06:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Elevation","4714.49","ft","daily","instant","2020-04-08 19:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Elevation","4714.31","ft","daily","instant","2020-04-09 06:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Elevation","4714.31","ft","daily","instant","2020-04-09 19:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Elevation","4714.12","ft","daily","instant","2020-04-10 06:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Elevation","4714.12","ft","daily","instant","2020-04-10 19:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Elevation","4714","ft","daily","instant","2020-04-11 06:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Elevation","4714","ft","daily","instant","2020-04-11 19:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Elevation","4713.81","ft","daily","instant","2020-04-12 06:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Elevation","4713.81","ft","daily","instant","2020-04-12 19:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Elevation","4713.69","ft","daily","instant","2020-04-13 06:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Elevation","4713.69","ft","daily","instant","2020-04-13 19:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Elevation","4713.59","ft","daily","instant","2020-04-14 06:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Elevation","4713.59","ft","daily","instant","2020-04-14 19:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Elevation","4713.43","ft","daily","instant","2020-04-15 06:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Elevation","4713.43","ft","daily","instant","2020-04-15 19:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Elevation","4713.36","ft","daily","instant","2020-04-16 06:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Elevation","4713.36","ft","daily","instant","2020-04-16 19:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Elevation","4713.25","ft","daily","instant","2020-04-17 06:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Elevation","4713.25","ft","daily","instant","2020-04-17 19:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Elevation","4713.14","ft","daily","instant","2020-04-18 06:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Elevation","4713.14","ft","daily","instant","2020-04-18 19:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Elevation","4713.01","ft","daily","instant","2020-04-19 06:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Elevation","4713.01","ft","daily","instant","2020-04-19 19:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Elevation","4712.88","ft","daily","instant","2020-04-20 06:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Elevation","4712.88","ft","daily","instant","2020-04-20 19:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Elevation","4712.72","ft","daily","instant","2020-04-21 06:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Elevation","4712.72","ft","daily","instant","2020-04-21 19:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Elevation","4712.61","ft","daily","instant","2020-04-22 06:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Elevation","4712.61","ft","daily","instant","2020-04-22 19:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Elevation","4712.49","ft","daily","instant","2020-04-23 06:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Elevation","4712.49","ft","daily","instant","2020-04-23 19:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Elevation","4712.38","ft","daily","instant","2020-04-24 06:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Elevation","4712.38","ft","daily","instant","2020-04-24 19:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Elevation","4712.26","ft","daily","instant","2020-04-25 06:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Elevation","4712.26","ft","daily","instant","2020-04-25 19:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Elevation","4712.15","ft","daily","instant","2020-04-26 06:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Elevation","4712.15","ft","daily","instant","2020-04-26 19:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Elevation","4712.04","ft","daily","instant","2020-04-27 06:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Elevation","4712.04","ft","daily","instant","2020-04-27 19:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Elevation","4711.92","ft","daily","instant","2020-04-28 06:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Elevation","4711.92","ft","daily","instant","2020-04-28 19:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Elevation","4711.88","ft","daily","instant","2020-04-29 06:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Elevation","4711.88","ft","daily","instant","2020-04-29 19:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Elevation","4711.83","ft","daily","instant","2020-04-30 06:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Elevation","4711.83","ft","daily","instant","2020-04-30 19:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Elevation","4711.83","ft","daily","instant","2020-05-01 06:00:00"
