Site Name,Hog Park Reservoir-RTPD,,,,Date,6/30/2022,
Date Time,Depth (m),Temp (°C),pH (SU),Spc. Cond. (µS/cm),RDO (mg/L),RDO (%Sat),ORP (mV)
Date Time,Depth (m),Temp (°C),pH (SU),Spc. Cond. (µS/cm),RDO (mg/L),RDO (%Sat),ORP (mV)
10:32:00 AM,17.58621,7.027917,6.83217,19.58126,4.679783,51.90671,134.4199
10:32:00 AM,17.58227,6.978029,6.819257,19.5926,4.680184,51.84621,135.1834
10:32:00 AM,17.58223,6.975441,6.817742,19.59515,4.679152,51.83142,135.2721
10:32:00 AM,17.51582,6.998067,6.827328,19.62817,4.654994,51.65802,135.6662
10:32:00 AM,17.09247,6.953774,6.804297,19.57773,4.658408,51.58819,136.9583
10:32:00 AM,17.05178,6.95047,6.802478,19.5741,4.657994,51.57662,137.0877
10:32:00 AM,16.65086,6.643503,6.792282,19.59828,4.69703,51.59505,137.9214
10:32:00 AM,16.60067,6.614769,6.790547,19.59854,4.700666,51.59472,138.0394
10:32:00 AM,16.22948,6.475371,6.779134,19.57615,4.713017,51.55268,138.4355
10:32:00 AM,16.18382,6.452734,6.777812,19.57507,4.715433,51.54975,138.4974
10:32:00 AM,15.87646,6.461528,6.766644,19.51936,4.715526,51.56375,139.2804
10:32:00 AM,15.83746,6.457603,6.765295,19.5138,4.715942,51.56347,139.3609
10:32:00 AM,15.65027,6.458813,6.750658,19.47678,4.733912,51.75904,139.6446
10:32:00 AM,15.62375,6.459083,6.74904,19.47176,4.735435,51.77589,139.6959
10:32:00 AM,15.26311,6.461104,6.734869,19.48402,4.746306,51.85996,140.2557
10:32:00 AM,14.91989,6.492532,6.725846,19.45122,4.759186,52.07342,140.5562
10:33:00 AM,14.87833,6.495415,6.724626,19.44868,4.760638,52.09475,140.6001
10:33:00 AM,14.42786,6.50169,6.708308,19.50308,4.774745,52.2569,141.212
10:33:00 AM,14.37754,6.503291,6.706605,19.50678,4.776388,52.2781,141.2746
10:33:00 AM,14.19337,6.549208,6.702684,19.51641,4.802198,52.62299,141.6217
10:33:00 AM,14.16259,6.553443,6.701807,19.51916,4.804943,52.6587,141.6725
10:33:00 AM,13.64522,6.486646,6.700014,19.57815,4.834574,52.89384,141.5256
10:33:00 AM,13.59408,6.482434,6.699738,19.58358,4.838056,52.92637,141.5243
10:33:00 AM,13.57877,6.532798,6.669024,19.63735,4.849192,53.11726,142.2236
10:33:00 AM,13.58471,6.548684,6.667861,19.7613,4.83364,52.9667,142.1443
10:33:00 AM,13.58567,6.551847,6.666818,19.77434,4.832496,52.95832,142.1587
10:33:00 AM,13.21054,6.572984,6.65597,19.89176,4.817626,52.82393,142.6298
10:33:00 AM,13.17688,6.575343,6.655031,19.90659,4.815686,52.8058,142.6679
10:33:00 AM,12.58853,6.671957,6.650104,19.99395,4.762796,52.3541,142.7768
10:33:00 AM,12.52245,6.681348,6.649285,20.00573,4.757544,52.309,142.8032
10:33:00 AM,12.22968,6.697094,6.637118,20.04555,4.707314,51.77917,143.447
10:33:00 AM,12.18291,6.701961,6.635879,20.05217,4.701004,51.71645,143.5071
10:33:00 AM,11.66632,6.727713,6.623464,19.9991,4.635675,51.10077,143.886
10:33:00 AM,11.16005,6.830416,6.611351,20.07221,4.613286,50.74726,144.2387
10:33:00 AM,11.09695,6.840721,6.609854,20.07723,4.609159,50.6954,144.2825
10:33:00 AM,10.68615,6.944008,6.603364,20.11994,4.557962,50.4296,144.6938
10:33:00 AM,10.63226,6.956896,6.602377,20.12645,4.552677,50.3944,144.7426
10:33:00 AM,10.15335,7.055992,6.593121,20.05318,4.504538,49.99566,144.7359
10:33:00 AM,10.09641,7.068423,6.592074,20.04812,4.498434,49.9509,144.7497
10:33:00 AM,9.884258,7.223832,6.584138,20.06628,4.46858,49.80884,144.9563
10:33:00 AM,9.388274,7.35562,6.581507,20.17285,4.462802,50.06485,145.1392
10:33:00 AM,9.335916,7.372679,6.581023,20.18347,4.461367,50.08465,145.163
10:33:00 AM,8.838592,7.583073,6.574678,19.95925,4.479729,50.40181,144.9917
10:33:00 AM,8.776247,7.606578,6.574027,19.94244,4.481296,50.44035,144.982
