Station,Date,Depth (m),Time,Temp (°C),pH,Cond (µS/cm),D.O. (mg/L,D.O. (%),ORP
Boysen Reservoir - TPD,,,,,,,,,
,,14.988461,,14.15558,8.626874,566.6818,5.19214,60.38338,-36.01015
,,14.357241,,14.51883,8.633098,560.2949,5.231748,61.3329,-34.54361
,,14.312871,,14.53429,8.632828,560.0208,5.23341,61.37308,-34.44199
,,14.268501,,14.54976,8.632559,559.7466,5.235072,61.41327,-34.34036
,,14.224131,,14.56523,8.632289,559.4725,5.236734,61.45345,-34.23874
,,13.653841,,15.02289,8.654383,549.6715,5.423689,64.2885,-34.25521
,,13.614991,,15.05085,8.655497,549.1,5.432965,64.43604,-34.22612
,,13.576141,,15.07881,8.65661,548.5286,5.442241,64.58359,-34.19703
,,13.071401,,15.19778,8.641955,546.4529,5.555982,67.66497,-32.09199
,,13.036531,,15.21221,8.641693,546.1665,5.564834,67.86216,-31.99345
,,13.001651,,15.22663,8.64143,545.8801,5.573685,68.05935,-31.89491
,,12.409751,,15.32291,8.615241,543.3807,5.806504,69.48403,-29.83089
,,12.371691,,15.32984,8.613707,543.2202,5.819855,69.61014,-29.69191
,,12.333631,,15.33677,8.612172,543.0598,5.833207,69.73625,-29.55293
,,12.295571,,15.3437,8.610638,542.8994,5.846558,69.86236,-29.41394
,,11.750551,,15.42921,8.598722,539.8041,6.035278,72.21906,-27.83086
,,11.712991,,15.4352,8.597632,539.6081,6.048849,72.35836,-27.71474
,,11.675431,,15.44119,8.596541,539.412,6.06242,72.49767,-27.59863
,,11.137001,,15.52732,8.561258,539.4251,6.202812,74.32832,-26.31608
,,11.100911,,15.53307,8.559354,539.3657,6.213122,74.46078,-26.22432
,,11.064821,,15.53882,8.55745,539.3063,6.223433,74.59324,-26.13255
,,11.028741,,15.54457,8.555546,539.2469,6.233743,74.72571,-26.04079
,,10.507631,,15.60019,8.539896,539.0475,6.296253,75.56625,-24.63669
,,10.472481,,15.60452,8.538463,539.0372,6.302027,75.64247,-24.5452
,,10.437331,,15.60885,8.53703,539.0269,6.307802,75.71869,-24.45371
,,9.881741,,15.70541,8.517416,536.9696,6.423267,77.26482,-23.20182
,,9.845301,,15.71108,8.516184,536.8672,6.429992,77.3549,-23.11525
,,9.808861,,15.71674,8.514953,536.7648,6.436716,77.44496,-23.02868
,,9.772421,,15.72241,8.513721,536.6624,6.44344,77.53503,-22.9421
,,9.243491,,15.83645,8.509701,536.1935,6.535682,78.84041,-21.43291
,,9.207872,,15.84364,8.509116,536.1307,6.542261,78.93172,-21.33802
,,9.172255,,15.85083,8.508531,536.0679,6.54884,79.02303,-21.24312
,,8.557612,,15.9046,8.477052,534.5613,6.609162,79.83948,-20.66665
,,8.517786,,15.90933,8.475438,534.479,6.613816,79.9035,-20.61047
,,8.477962,,15.91406,8.473824,534.3968,6.618469,79.96751,-20.55429
,,8.438136,,15.91879,8.47221,534.3145,6.623123,80.03153,-20.49811
,,7.774858,,15.94549,8.424263,530.9519,6.649521,80.39601,-18.35875
,,7.730827,,15.94788,8.421355,530.7626,6.652038,80.4304,-18.24623
,,7.686795,,15.95027,8.418447,530.5733,6.654553,80.46479,-18.13371
,,7.018675,,16.15668,8.387431,525.8117,6.654482,80.81952,-16.66141
,,6.973307,,16.16714,8.384995,525.5175,6.655053,80.84441,-16.54867
,,6.927938,,16.1776,8.38256,525.2233,6.655623,80.86931,-16.43593
,,6.882569,,16.18807,8.380124,524.9291,6.656193,80.89421,-16.32319
,,6.54038,,16.56693,8.372716,519.1152,6.691347,81.98164,-15.9888
,,6.510216,,16.58863,8.371692,518.747,6.692995,82.03939,-15.94132
,,6.480052,,16.61032,8.370667,518.3788,6.694643,82.09714,-15.89384
,,5.597407,,16.87911,8.352198,517.8699,6.683144,82.47316,-14.12074
,,5.547458,,16.89942,8.351123,517.7313,6.683259,82.51225,-14.02664
,,5.497508,,16.91973,8.350047,517.5926,6.683375,82.55135,-13.93253
,,4.861677,,17.16044,8.334475,519.5004,6.710911,83.26728,-11.84887
,,4.813101,,17.17745,8.333344,519.5826,6.712006,83.30934,-11.71216
,,4.764525,,17.19447,8.332214,519.6647,6.7131,83.35139,-11.57545
,,4.715949,,17.21148,8.331084,519.7469,6.714195,83.39346,-11.43874
,,4.204508,,18.19742,8.336,483.4152,6.838885,86.70488,-11.85776
,,4.166755,,18.24899,8.335899,481.7428,6.845315,86.87582,-11.8335
,,4.129001,,18.30056,8.335798,480.0704,6.851746,87.04675,-11.80925
,,3.410409,,19.08479,8.310845,458.2318,6.829234,88.16344,-11.08654
,,3.365209,,19.14197,8.309723,456.4732,6.830568,88.28194,-11.05831
,,3.32001,,19.19915,8.308599,454.7146,6.831901,88.40046,-11.03009
,,3.274811,,19.25633,8.307477,452.956,6.833235,88.51897,-11.00186
,,2.490996,,19.38757,8.254865,423.9636,6.867823,89.20378,-8.650536
,,2.439735,,19.41063,8.251941,422.161,6.869013,89.2606,-8.527936
,,2.388475,,19.43369,8.249018,420.3585,6.870203,89.31742,-8.405336
,,1.686368,,19.60028,8.210587,409.828,6.88646,89.82682,-6.975621
,,1.637397,,19.61162,8.207748,408.7568,6.887916,89.866,-6.862963
,,1.588425,,19.62295,8.20491,407.6856,6.889371,89.90518,-6.750305
,,1.539454,,19.63428,8.202072,406.6143,6.890827,89.94437,-6.637646
,,0.53596,,20.07072,8.175412,388.2274,6.916255,91.07117,-5.414178
,,0.474175,,20.09474,8.173346,387.1363,6.917784,91.13474,-5.326411
,,0.41239,,20.11876,8.171278,386.0451,6.919314,91.19832,-5.238645
,,0.0723891,,20.45145,8.138675,393.5923,6.970129,92.48911,-3.42005
