Station,Date,Depth (m),Time,Temp (°C),pH,Cond (µS/cm),D.O. (mg/L,D.O. (%),ORP,,
Boysen Reservoir - RPD,,,,,,,,,,,
,,7,,13.56,8.35,574.81,9.09,103.57,169,,
,,8,,13.55,8.46,576.22,9.07,103.32,161.6,,
,,9,,13.52,8.59,580.04,8.98,102.28,154.5,,
,,,,,,,,,,,
,5/18/2021,0,1200,18.15,8.5,554.23,8.7,111.11,171.9,,
,,0.5,,16.67,8.5,552.84,8.9,109.95,179.5,,
,,1,,15.73,8.5,564.87,9.1,109.48,180.7,,
,,1.5,,15.3,8.5,574.9,9.2,109.84,181.9,,
,,2,,14.87,8.5,584.82,9.4,111.62,183.6,,
,,2.5,,14.56,8.5,588.82,9.5,111.37,185.4,,
,,3,,14.37,8.4,589.76,9.3,109.4,189.5,,
,,4,,13.78,8.3,596.8,9.3,107.7,199.1,,
,,5,,12.75,8.2,607.85,9.1,102.8,204.5,,
,,6,,12.05,8.3,606.26,9.5,106.7,202.6,,
,,7,,11.54,8.4,605.44,9.6,105.9,191.3,,
,,8,,11.48,8.6,609.02,9.3,102.2,184.7,,
,,9,,11.18,8.5,618.31,7.6,82.4,182.4,,
,,10,,10.4,8.5,615.3,6.8,73.2,172.9,,
,,,,,,,,,,,
,6/22/2021,11.460663,1327,15.08273,8.471425,548.106,6.042454,71.73877,-19.46272,,
,,11.460713,,15.08313,8.471437,548.0986,6.042108,71.73545,-19.46199,,
,,11.161393,,15.08543,8.458475,548.3484,6.037487,71.76703,-18.56282,,
,,11.147473,,15.08566,8.45788,548.3579,6.037173,71.76756,-18.52123,,
,,11.133543,,15.0859,8.457285,548.3673,6.036859,71.7681,-18.47965,,
,,10.755573,,15.08661,8.455826,547.7588,6.039452,71.71762,-18.59347,,
,,10.731593,,15.0867,8.45551,547.7339,6.039484,71.71571,-18.58195,,
,,10.707613,,15.08678,8.455194,547.709,6.039516,71.71381,-18.57044,,
,,10.081743,,15.09009,8.434175,548.6268,6.03991,71.72308,-16.31923,,
,,10.044163,,15.09027,8.433139,548.6586,6.039981,71.7225,-16.21348,,
,,10.006573,,15.09044,8.432102,548.6905,6.040052,71.72192,-16.10772,,
,,9.968993,,15.09061,8.431066,548.7224,6.040123,71.72134,-16.00197,,
,,9.761613,,15.10493,8.407936,548.7907,6.052033,71.88725,-15.37742,,
,,9.738973,,15.10567,8.406413,548.812,6.052608,71.89531,-15.30259,,
,,9.716343,,15.10642,8.40489,548.8333,6.053185,71.90336,-15.22776,,
,,9.693703,,15.10717,8.403366,548.8547,6.05376,71.91142,-15.15293,,
,,8.746676,,15.105,8.372297,548.6891,6.06987,72.23383,-13.12037,,
,,8.700087,,15.10521,8.370427,548.6839,6.070828,72.25145,-13.01611,,
,,8.653497,,15.10542,8.368558,548.6786,6.071787,72.26907,-12.91185,,
,,8.080657,,15.12457,8.361232,547.8544,6.101193,72.51802,-11.73877,,
,,8.037103,,15.12542,8.360312,547.8141,6.102839,72.53531,-11.6473,,
,,7.993548,,15.12628,8.359393,547.7739,6.104483,72.5526,-11.55582,,
,,7.949992,,15.12713,8.358474,547.7337,6.106128,72.5699,-11.46434,,
,,7.281701,,15.25571,8.346754,544.6435,6.181555,73.66955,-9.803836,,
,,7.240302,,15.2619,8.346073,544.4879,6.185537,73.72415,-9.70579,,
,,7.198902,,15.26808,8.345393,544.3322,6.18952,73.77876,-9.607744,,
,,7.157503,,15.27427,8.344712,544.1766,6.193502,73.83337,-9.509699,,
,,6.405346,,15.64707,8.334533,536.6516,6.329779,76.0727,-8.08763,,
,,6.359222,,15.66563,8.333852,536.2669,6.337142,76.19077,-7.992468,,
,,6.313097,,15.68418,8.333171,535.8823,6.344506,76.30885,-7.897306,,
,,5.412577,,16.06417,8.306995,529.6381,6.431242,77.98864,-7.031773,,
,,5.358393,,16.08783,8.305629,529.2245,6.437558,78.10375,-6.966892,,
,,5.304209,,16.11148,8.304263,528.8109,6.443873,78.21886,-6.902011,,
,,5.250025,,16.13514,8.302896,528.3973,6.450189,78.33397,-6.837131,,
,,4.884957,,16.63449,8.289817,527.5757,6.552272,80.42719,-5.589775,,
,,4.851648,,16.66408,8.288736,527.4225,6.558491,80.55288,-5.517272,,
,,4.81834,,16.69368,8.287657,527.2692,6.56471,80.67857,-5.44477,,
,,4.785032,,16.72328,8.286576,527.1159,6.57093,80.80426,-5.372268,,
,,3.915528,,17.13758,8.268717,517.944,6.60601,82.60683,-3.201158,,
,,3.86902,,17.166,8.267651,517.5137,6.609614,82.72903,-3.079356,,
,,3.822511,,17.19441,8.266584,517.0834,6.613218,82.85123,-2.957554,,
,,3.373486,,17.52367,8.235618,497.4953,6.75366,84.55049,-2.183447,,
,,3.336592,,17.54655,8.233878,496.4413,6.760696,84.66199,-2.10724,,
,,3.299699,,17.56943,8.232139,495.3873,6.767733,84.77348,-2.031033,,
,,3.262805,,17.59231,8.230399,494.3333,6.77477,84.88497,-1.954826,,
,,2.329027,,18.42955,8.167157,377.6805,6.81919,86.89294,-2.31233,,
,,2.27764,,18.47407,8.163693,372.0111,6.823874,87.01736,-2.312582,,
,,2.226254,,18.51858,8.160229,366.3417,6.828558,87.14178,-2.312835,,
,,1.452043,,19.21189,8.112288,332.1413,6.73267,87.13757,-0.4566,,
,,1.399121,,19.25919,8.108922,328.3953,6.729154,87.17554,-0.3784832,,
,,1.346199,,19.30649,8.105555,324.6492,6.725636,87.21353,-0.3003663,,
,,1.293277,,19.35379,8.102188,320.9032,6.722119,87.25152,-0.2222495,,
,,0.705351,,19.68289,8.040299,318.5766,6.706374,87.63206,0.7421527,,
,,0.663721,,19.71114,8.036555,317.7922,6.703891,87.65016,0.8207162,,
,,0.622092,,19.7394,8.032811,317.0078,6.701408,87.66825,0.8992797,,
,,0.580463,,19.76765,8.029068,316.2234,6.698925,87.68634,0.9778432,,
,,0.0701779,,19.89357,7.992043,315.8344,6.722754,88.22249,3.029968,,
,,0.0350889,,19.9062,7.989126,315.7268,6.723491,88.25463,3.142066,,
